Year,Total,PercentChange,Corporations,PercentChange,Foundations,PercentChange,Bequests,PercentChange,Individuals,PercentChange
1977,142.4,3.8,6.23,8.7,8.09,-1.2,8.57,-13.5,119.51,5.4
1978,144.93,1.8,6.39,2.6,8.15,0.8,9.77,13.9,120.62,0.9
1979,145.6,0.5,6.92,8.4,7.57,-7.2,7.53,-22.9,123.58,2.5
1980,144.65,-0.7,6.69,-3.3,8.36,10.5,8.51,12.9,121.09,-2
1981,149.03,3,7.12,6.3,8.28,-1,9.65,13.4,123.98,2.4
1982,150.15,0.8,7.9,11,8.03,-3,13.23,37.1,120.99,-2.4
1983,155.56,3.6,9.03,14.3,8.86,10.4,9.55,-27.8,128.12,5.9
1984,161.82,4,9.75,7.9,9.32,5.2,9.53,-0.2,133.22,4
1985,163.36,1,10.55,8.3,11.17,19.8,10.87,14,130.78,-1.8
1986,186.17,14,11.25,6.6,12.14,8.8,12.75,17.3,150.04,14.7
1987,177.33,-4.8,11.24,-0.1,12.68,4.5,14.19,11.4,139.21,-7.2
1988,182.49,2.9,11.07,-1.5,12.75,0.5,13.62,-4.1,145.05,4.2
1989,194.37,6.5,10.8,-2.5,12.95,1.6,13.52,-0.7,157.1,8.3
1990,184.75,-4.9,10.24,-5.1,13.56,4.7,12.74,-5.8,148.21,-5.7
1991,184.62,-0.1,9.45,-7.8,13.89,2.4,13.82,8.5,147.46,-0.5
1992,194.41,5.3,10.32,9.3,15.09,8.6,16.67,20.6,152.33,3.3
1993,197.82,1.8,10.98,6.3,16.17,7.1,15.03,-9.8,155.63,2.2
1994,198.53,0.4,11.54,5.1,15.97,-1.2,18.41,22.4,152.6,-1.9
1995,198.02,-0.3,11.82,2.4,16.99,6.3,16.75,-9,152.46,-0.1
1996,217.05,9.6,11.74,-0.7,18.75,10.4,18.8,12.3,167.76,10
1997,248.09,14.3,13.16,12.2,21.26,13.3,24.81,32,188.85,12.6
1998,265.5,7,12.72,-3.4,25.58,20.3,20.17,-18.7,207.03,9.6
1999,299,12.6,15.05,18.3,30.18,18,26.22,30,227.54,9.9
2000,326.91,9.3,15.29,1.6,34.99,15.9,28.83,9.9,247.81,8.9
2001,321.29,-1.7,16.14,5.6,37.68,7.7,27.89,-3.2,239.57,-3.3
2002,317.13,-1.3,14.7,-8.9,36.77,-2.4,28.84,3.4,236.83,-1.1
2003,316.4,-0.2,14.74,0.2,35.76,-2.7,24.09,-16.5,241.8,2.1
2004,337.75,6.7,14.74,0,36.87,3.1,24.05,-0.2,262.09,8.4
2005,367.04,8.7,19.08,29.4,40.68,10.3,30.12,25.3,277.16,5.8
2006,360.02,-1.9,17.66,-7.5,42.45,4.3,26.63,-11.6,273.29,-1.4
2007,367.74,2.1,16.81,-4.8,47.29,11.4,28.12,5.6,275.51,0.8
2008,341.1,-7.2,14.12,-16,48.06,1.6,35.57,26.5,243.36,-11.7
2009,313.95,-8,15.76,11.6,46.95,-2.3,21.85,-38.6,229.4,-5.7
2010,323.92,3.2,17.78,12.9,46.03,-1.9,26.3,20.4,233.8,1.9
2011,325.28,0.4,16.98,-4.5,47.76,3.8,27.44,4.3,233.1,-0.3
2012,355.1,9.2,18.38,8.3,49.51,3.7,26.3,-4.2,260.91,11.9
2013,349.89,-1.5,16.69,-9.2,52.48,6,25.62,-2.6,255.09,-2.2
2014,370.24,5.8,18.91,13.3,56.86,8.3,33.29,29.9,261.18,2.4
2015,388.91,5,19.07,0.9,59.24,4.2,36.85,10.7,273.74,4.8
2016,397.94,2.3,19.65,3,64.47,8.8,35.64,-3.3,278.18,1.6
2017,410.02,3,20.77,5.7,66.9,3.8,35.7,0.2,286.65,3
