Year,Total,Total%Change,Corporations,Corporations%Change,Foundations,Foundations%Change,Bequests,Bequests%Change,Individuals,Individuals%Change
1977,35.21,10.5,1.54,15.8,2.0,5.3,2.12,-7.8,29.55,12.3
1978,38.57,9.5,1.7,10.4,2.17,8.5,2.6,22.6,32.1,8.6
1979,43.11,11.8,2.05,20.6,2.24,3.2,2.23,-14.2,36.59,14.0
1980,48.63,12.8,2.25,9.8,2.81,25.4,2.86,28.3,40.71,11.3
1981,55.28,13.7,2.64,17.3,3.07,9.3,3.58,25.2,45.99,13.0
1982,59.11,6.9,3.11,17.8,3.16,2.9,5.21,45.5,47.63,3.6
1983,63.21,6.9,3.67,18.0,3.6,13.9,3.88,-25.5,52.06,9.3
1984,68.58,8.5,4.13,12.5,3.95,9.7,4.04,4.1,56.46,8.5
1985,71.69,4.5,4.63,12.1,4.9,24.1,4.77,18.1,57.39,1.6
1986,83.25,16.1,5.03,8.6,5.43,10.8,5.7,19.5,67.09,16.9
1987,82.2,-1.3,5.21,3.6,5.88,8.3,6.58,15.4,64.53,-3.8
1988,88.04,7.1,5.34,2.5,6.15,4.6,6.57,-0.2,69.98,8.4
1989,98.3,11.7,5.46,2.2,6.55,6.5,6.84,4.1,79.45,13.5
1990,98.48,0.2,5.46,0.0,7.23,10.4,6.79,-0.7,79.0,-0.6
1991,102.58,4.2,5.25,-3.8,7.72,6.8,7.68,13.1,81.93,3.7
1992,111.29,8.5,5.91,12.6,8.64,11.9,9.54,24.2,87.2,6.4
1993,116.58,4.8,6.47,9.5,9.53,10.3,8.86,-7.1,91.72,5.2
1994,120.05,3.0,6.98,7.9,9.66,1.4,11.13,25.6,92.28,0.6
1995,123.1,2.5,7.35,5.3,10.56,9.3,10.41,-6.5,94.78,2.7
1996,138.89,12.8,7.51,2.2,12.0,13.6,12.03,15.6,107.35,13.3
1997,162.46,17.0,8.62,14.8,13.92,16.0,16.25,35.1,123.67,15.2
1998,176.56,8.7,8.46,-1.9,17.01,22.2,13.41,-17.5,137.68,11.3
1999,203.19,15.1,10.23,20.9,20.51,20.6,17.82,32.9,154.63,12.3
2000,229.66,13.0,10.74,5.0,24.58,19.8,20.25,13.6,174.09,12.6
2001,232.09,1.1,11.66,8.6,27.22,10.7,20.15,-0.5,173.06,-0.6
2002,232.72,0.3,10.79,-7.5,26.98,-0.9,21.16,5.0,173.79,0.4
2003,237.45,2.0,11.06,2.5,26.84,-0.5,18.08,-14.6,181.47,4.4
2004,260.26,9.6,11.36,2.7,28.41,5.8,18.53,2.5,201.96,11.3
2005,292.43,12.4,15.2,33.8,32.41,14.1,24.0,29.5,220.82,9.3
2006,296.09,1.3,14.52,-4.5,34.91,7.7,21.9,-8.8,224.76,1.8
2007,311.06,5.1,14.22,-2.1,40.0,14.6,23.79,8.6,233.05,3.7
2008,299.61,-3.7,12.4,-12.8,42.21,5.5,31.24,31.3,213.76,-8.3
2009,274.78,-8.3,13.79,11.2,41.09,-2.7,19.12,-38.8,200.78,-6.1
2010,288.16,4.9,15.82,14.7,40.95,-0.3,23.4,22.4,207.99,3.6
2011,298.5,3.6,15.58,-1.5,43.83,7.0,25.18,7.6,213.91,2.8
2012,332.61,11.4,17.22,10.5,46.37,5.8,24.63,-2.2,244.38,14.2
2013,332.52,0.0,15.86,-7.9,49.88,7.6,24.35,-1.1,242.43,-0.8
2014,357.57,7.5,18.26,15.1,54.91,10.1,32.15,32.0,252.25,4.0
2015,376.05,5.2,18.44,1.0,57.29,4.3,35.63,10.8,264.69,4.9
2016,389.64,3.6,19.24,4.3,63.12,10.2,34.89,-2.1,272.38,2.9
2017,410.02,5.2,20.77,8.0,66.9,6.0,35.7,2.3,286.65,5.2
